,year,month,location,ira,product_category,brand,sku_id,item_per_bundle,shape,with_alcohol,filling,volume,price,Archer,Monk,Dwarf,Centaur,Gremlin,Genie,Demon,Ghost,Minotaur,Medusa,Goblin,Orc,Gargoyle,Pegasus,Pirate,Unicorn,Giant,Elf,Angel,other
0,2017,1,Alpha City,AC,Chocolates,Cadbury,sku #79,1,Standart,No,Nothing,4572.0,,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
1,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #15,1,Standart,No,Nothing,8028.0,1.2213359920239284,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
2,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #16,3,Standart,No,Nothing,6606.0,2.8664007976071773,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
3,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #22,2,Standart,No,Nothing,11688.0,2.093718843469591,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
4,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #28,3,Standart,No,Nothing,3582.0,2.8664007976071773,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
5,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #30,1,Standart,No,Nothing,5964.0,1.2213359920239284,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
6,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #31,1,Square,No,Nothing,1734.0,1.2213359920239284,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
7,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #33,1,Standart,No,Nothing,432.0,1.2213359920239284,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
8,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #38,1,Standart,Yes,Nothing,942.0,1.2213359920239284,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
9,2017,1,Alpha City,AC,Chocolates,Ferrero Rocher,sku #41,1,Standart,No,Nothing,1536.0,1.2213359920239284,679.0,1070.0,610.0,1315.0,1554.0,4899.0,575.0,1006.0,235.0,441.0,399.0,2523.0,1268.0,1027.0,17465.0,2501.0,871.0,5882.0,1527.0,8549.0
